id,Skill_Rating,Skill,Worker
145,2,R shiny,19
146,4,IT Skills,20
147,2,Python,20
148,5,Data Science,20
149,5,Machine Learning,20
150,2,Big Data,20
151,1,AWS,20
152,4,Azure,20
153,3,Computer science,20
154,1,Computer science,21
155,1,data science,21
156,5,Neural networks,21
157,1,Pharma,21
158,2,Network analysis,21
159,1,Machine learning,21
160,5,Clinical trials,21
161,5,data visualization,21
162,5,Tableau,22
163,5,Data Science,22
164,5,R,22
165,1,Logistic Regression,22
166,1,SAS,22
167,5,Classification,22
168,4,Data Analytics,22
169,4,Random Forest,22
170,4,data reporting,23
171,3,Analytical,23
172,3,Pharma,23
173,5,Healthcare,23
174,2,data integrity,23
175,3,HR,23
176,4,Troubleshooting,23
177,2,HPLC,23
178,3,python,24
179,3,django,24
180,5,java,24
181,4,MySQL,24
182,1,IT Skills,24
183,4,Data Science,24
184,4,Cloud,24
185,1,Javascript,24
186,5,Data management,25
187,3,data science,25
188,4,Cash flow,25
189,3,Data analytics,25
190,4,big data,25
191,2,Business banking,25
192,3,Analytics,25
193,1,SQL,25
194,3,Data Analysis,26
195,4,C++,26
196,5,Data Visualization,26
197,2,Advanced Excel,26
198,2,Tableau,26
199,5,Python,26
200,2,SAS,27
201,5,Consulting,27
202,2,Programming,27
203,1,Life sciences,27
204,1,Pharmacovigilance,27
205,1,Cognos,27
206,3,Project initiation,27
207,3,Clinical trials,27
208,4,Data management,28
209,5,EDC,28
210,2,Clinical trials,28
211,2,Data collection,28
212,4,Clinical research,28
213,4,Data quality,28
214,1,Licensing,28
215,1,Monitoring,28
216,2,Supply chain,29
217,1,Text mining,29
218,1,Data management,29
219,3,Manager Technology,29
220,1,Data quality,29
221,4,Mathematics,29
222,3,Network management,29
223,5,big data,29
224,1,Tableau,30
225,4,Data Science,30
226,5,R,30
227,4,Logistic Regression,30
228,5,SAS,30
229,5,Classification,30
230,5,image analytics,30
231,5,Data Analytics,30
232,4,Computer vision,31
233,2,PDF,31
234,3,data manipulation,31
235,5,Machine learning,31
236,3,data visualization,31
237,3,Executive search,31
238,2,Data mining,31
239,4,big data,31
240,5,Deployment,32
241,5,Tableau,32
242,1,machine learning,32
243,2,Etl Automation,32
244,3,Gcp Cloud,32
245,3,IT Skills,32
246,2,Python,32
247,2,Data Science,32
248,3,Computer science,33
249,4,C++,33
250,5,Operations research,33
251,5,Analytical,33
252,1,Machine learning,33
253,2,Data collection,33
254,1,Data mining,33
255,3,Business intelligence,33
256,3,Automation,34
257,3,Product engineering,34
258,1,Operations research,34
259,1,Machine learning,34
260,2,Agile,34
261,4,Data structures,34
262,5,Digital marketing,34
263,5,Open source,34
264,3,Microstrategy,35
265,2,Business services,35
266,1,Analytical,35
267,3,Machine learning,35
268,1,Stakeholder management,35
269,3,Analytics,35
270,4,SQL,35
271,2,Python,35
272,4,machine learning,36
273,1,Tensorflow,36
274,3,BigQuery,36
275,1,SAP,36
276,4,Power BI,36
277,5,Hadoop,36
278,2,Big Data,36
279,1,Tableau,36
280,5,Python,37
281,4,Pyspark,37
282,2,credit risk modeling,37
283,4,credit card firm,37
284,3,Hadoop,37
285,3,LGD,37
286,4,SQL,37
287,4,R,37
288,5,Computer science,38
289,3,Networking,38
290,1,Pharma,38
291,1,Machine learning,38
292,2,Javascript,38
293,2,Agile,38
294,5,Workflow,38
295,2,HTML,38
296,5,Training,39
297,4,Enterprise applications,39
298,4,Artificial Intelligence,39
299,2,Investigation,39
300,5,Open source,39
301,5,Watson discovery,39
302,5,Deployment,39
303,1,Python,40
304,2,Predictive Modeling,40
305,1,Data Scientist,40
306,5,Model Deployment,40
307,4,Machine Learning,40
308,3,Team Management,41
309,5,MLT,41
310,5,machine learning,41
311,1,Python,41
312,2,digital analytics,41
313,4,data analysis,41
314,1,data science,41
315,1,AWS,41
316,2,AWS,42
317,2,IT Skills,42
318,4,Python,42
319,2,Testing,42
320,5,Data Science,42
321,3,Machine Learning,42
322,2,Naive Bayes,42
323,3,Decision Tree,42
324,2,Interpersonal skills,43
325,5,data science,43
326,5,Consulting,43
327,1,Machine learning,43
328,2,Open source,43
329,1,Training,43
330,3,advanced analytics,43
331,4,Circuit designing,43
332,5,Data migration,44
333,3,Maximo,44
334,4,Enterprise applications,44
335,5,Artificial Intelligence,44
336,4,Open source,44
337,5,Maximo Implementation,44
338,1,Maximo data model,44
339,4,Maximo data migration,44
340,1,Power Bi,45
341,1,HDInsight,45
342,2,EMR,45
343,4,ETL,45
344,1,Big Data ecosystem,45
345,5,Glue,45
346,5,Dataflow,45
347,2,Oozie,45
348,3,Pytorch,46
349,4,Tensorflow,46
350,1,Data Science,46
351,1,Pyspark,46
352,5,Presto,46
353,4,Classification,46
354,4,Time Series,46
355,1,Machine Learning,46
356,4,IT Skills,47
357,5,Testing,47
358,2,Data Science,47
359,5,Machine Learning,47
360,4,Cloud,47
361,4,Big Data,47
362,2,Text mining,47
363,3,Neural networks,47
364,5,Automation,48
365,2,Consulting,48
366,4,Machine learning,48
367,4,Analytics,48
368,2,Salesforce,48
369,5,IT Skills,48
370,5,Azure,48
371,2,IVR,48
372,5,python,49
373,2,Tableau,49
374,1,SQL,49
375,2,Machine Learning,50
376,1,Python,50
377,4,IT Skills,50
378,1,Software Development,50
379,4,Data Science,50
380,4,Cloud,50
381,5,Logistic Regression,50
382,4,NoSQL,50
383,3,Statistical Modeling,51
384,3,R Program,51
385,3,data science,52
386,2,Java,52
387,4,Business Intelligence,52
388,1,R,52
389,2,visualization,52
390,3,Business Analytics,52
391,1,SQL Server,52
392,4,Tableau,52
393,4,Data analysis,53
394,5,Wealth management,53
395,5,Coding,53
396,1,Project management,53
397,4,Analytical,53
398,5,Anti money laundering,53
399,2,Cash management,53
400,3,Financial services,53
401,4,Machine Learning,54
402,4,Data Science,54
403,2,R,54
404,5,APICS,54
405,3,NLP,54
406,5,Artificial Intelligence,54
407,1,Data Management,54
408,5,Python,54
409,5,python,55
410,2,Regression,55
411,5,Data Visualization,55
412,4,machine learning,55
413,3,SQL,55
414,3,Power Bi,55
415,1,Data Manipulation,55
416,1,Sql Querying,55
417,5,R,56
418,2,SAS,56
419,4,Data Scientist,56
420,1,analytics,56
421,3,analytical skills,56
422,1,Machine Learning,56
423,2,Data Science,57
424,5,Data Scientist,57
425,3,Data Analysis,57
426,4,Data Analytics,57
427,4,data analyst,57
428,4,Python,57
429,3,R,57
430,5,SQL,57
431,2,machine learning,58
432,1,Python,58
433,5,Caffe,58
434,5,Torch,58
435,4,OpenCV,58
436,1,Tensorflow,58
437,5,Theano,58
438,3,CuDNN,58
439,5,SAS,59
440,5,Data management,59
441,5,Consulting,59
442,5,Life sciences,59
443,5,SQL,59
444,5,IT Skills,59
445,5,Cloud,59
446,4,Statistical programming,59
447,4,Interpersonal skills,60
448,2,data science,60
449,1,Consulting,60
450,1,Machine learning,60
451,2,Open source,60
452,1,IT Skills,60
453,4,Training,60
454,2,advanced analytics,60
455,4,python,61
456,3,R,61
457,4,SQL,61
458,2,IT Skills,61
459,3,Cloud,61
460,5,DevOps,61
461,3,AWS,61
462,2,Data Visualization,61
463,5,Graphics,62
464,3,Bidding,62
465,1,Data management,62
466,1,PHP,62
467,3,HTML,62
468,4,microsoft,62
469,1,Data mining,62
470,2,Business intelligence,62
471,1,Senior Data Scientist,63
472,1,Regression,63
473,1,Text Mining,63
474,2,Clustering,63
475,4,Machine Learning,63
476,5,Java,63
477,4,C++,63
478,4,C,63
479,5,Python,64
480,3,R,64
481,3,Data Scientist,64
482,3,Artificial Intelligence,64
483,3,Data Mining,64
484,1,Machine Learning,64
485,5,PhD,64
486,4,SQL,64
487,1,Machine Learning,65
488,1,Data Science,65
489,5,Data Pipeline,65
490,3,Data Scientist,65
491,5,Cloud,65
492,2,Data Management,65
493,2,Tableau,65
494,5,Algorithm,65
495,1,analytical project management,66
496,2,predictive model,66
497,1,Data Management,66
498,5,Data Mining,66
499,4,Data Cleansing,66
500,3,Data Visualization,66
501,4,Statistical Data Analysis,66
502,3,SVM,66
503,5,Conceptual modelling,67
504,5,Natural Language Processing,67
505,1,Machine learning,67
506,5,Predictive modelling,67
507,5,Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot,67
508,2,IT Skills,67
509,2,Python,67
510,3,Testing,67
511,4,Cloud computing,68
512,5,Simulation,68
513,2,Agile scrum,68
514,2,Contract management,68
515,1,Neural networks,68
516,2,Analytical,68
517,1,Machine learning,68
518,4,Predictive modeling,68
519,1,data visualization tools,69
520,5,IT Skills,69
521,2,Python,69
522,2,Data Science,69
523,5,Project Management,69
524,5,Tableau,69
525,3,BPO,69
526,5,project management,69
527,2,IT Skills,70
528,5,Python,70
529,5,Data Science,70
530,2,Machine Learning,70
531,1,Artificial Intelligence,70
532,1,Cloud,70
533,3,Text mining,70
534,2,Cloud computing,70
535,1,Computer science,71
536,5,Administration,71
537,1,Logistic regression,71
538,1,SAS,71
539,5,Coding,71
540,4,MIS,71
541,1,Intellectual property,71
542,1,Financial services,71
543,1,Unix,72
544,3,Operations research,72
545,2,SAS,72
546,1,Data management,72
547,2,Risk analytics,72
548,2,Project management,72
549,5,Data collection,72
550,1,Data mining,72
551,5,Machine Learning,73
552,2,Python,73
553,1,SQL,73
554,3,R,73
555,5,Logistic Regression,73
556,3,Computer Science,73
557,4,Client Servicing,73
558,3,Data Analysis,73
559,3,Data Scientist,74
560,5,Java,75
561,5,python,75
562,1,NLP,75
563,4,MySQL,75
564,4,Machine Learning,75
565,2,Deep Learning,75
566,1,Data Science,76
567,2,Pyspark,76
568,5,Algorithms,76
569,4,Machine Learning,76
570,1,Deep Learning,76
571,4,Matplotlib,77
572,2,Azure,77
573,4,GIT,77
574,3,Linux,77
575,1,Docker,77
576,5,Pandas,77
577,3,Python,77
578,2,data science,78
579,5,CNN,78
580,5,LSTM,78
581,5,numpy,78
582,5,Machine Learning,78
583,2,Deep Learning,78
584,5,Pytorch,78
585,2,pandas,78
586,3,Product management,79
587,4,Data analysis,79
588,5,Image processing,79
589,1,Machine learning,79
590,3,Agile,79
591,2,Data quality,79
592,1,application architecture,79
593,1,SQL,79
594,3,Hadoop,80
595,4,IT Skills,80
596,1,Data Science,80
597,5,Computer science,80
598,1,Operations research,80
599,1,Interpersonal skills,80
600,5,Risk analytics,80
601,4,SCALA,80
602,5,Scheduling,81
603,1,big data,81
604,4,Unix shell scripting,81
605,2,SQL,81
606,4,Python,81
607,4,Automation,81
608,5,Interpersonal skills,81
609,4,Artificial Intelligence,81
610,2,Scheduling,82
611,1,big data,82
612,4,Unix shell scripting,82
613,3,SQL,82
614,2,Python,82
615,3,Automation,82
616,3,Interpersonal skills,82
617,4,Artificial Intelligence,82
618,2,IT Skills,83
619,2,Data Science,83
620,1,Machine Learning,83
621,4,Big Data,83
622,1,Text mining,83
623,1,Computer vision,83
624,2,Publishing,83
625,1,Web analytics,83
626,3,Health insurance,84
627,1,Data analysis,84
628,5,Statistical modeling,84
629,1,data science,84
630,1,Machine learning,84
631,3,SCALA,84
632,4,Programming,84
633,4,Information retrieval,84
634,2,machine learning,85
635,5,IT Skills,85
636,1,Data Science,85
637,5,python,85
638,2,nlp,85
639,4,Data Scientist,86
640,1,Market Mix Modelling,86
641,1,IT Skills,86
642,1,Python,86
643,5,Data Science,86
644,5,Cloud,86
645,1,AWS,86
646,3,Digital Marketing,86
647,2,Consulting,87
648,5,Machine learning,87
649,2,Healthcare,87
650,2,Presales,87
651,4,Python,87
652,1,Automation,87
653,5,data science,87
654,5,Analytical,87
655,5,python,88
656,4,machine learning,88
657,5,Artificial Intelligence,88
658,1,Supply chain,89
659,5,Computer science,89
660,1,Data analysis,89
661,3,Simulation,89
662,1,Machine learning,89
663,5,Open source,89
664,1,Data mining,89
665,3,SQL,89
666,1,python,90
667,1,Web Framework,90
668,3,Machine Learning,90
669,3,tensorflow,90
670,2,Django,90
671,5,Neural Networks,90
672,4,flask,90
673,3,artificial intelligence,90
674,1,Data Science,91
675,1,Artificial Intelligence,91
676,4,azure,91
677,1,IT Skills,91
678,1,Python,91
679,2,Machine Learning,91
680,5,Cloud,91
681,3,Big Data,91
682,5,statistics,92
683,1,Supply chain,92
684,5,gcp,92
685,2,aws,92
686,4,python,93
687,1,Django,93
688,1,pytorch,93
689,5,Text Mining,93
690,1,Predictive Analytics,93
691,5,Pattern Recognition,93
692,3,Natural Language Processing,93
693,2,Data Mining,93
694,5,Data analysis,94
695,4,Sales operations,94
696,1,Consulting,94
697,4,Machine learning,94
698,3,Data mining,94
699,3,Operations,94
700,2,Analytics,94
701,1,Financial services,94
702,3,IVR,95
703,4,Enterprise applications,95
704,3,Open source,95
705,4,LEX,95
706,3,Python,95
707,2,AWS services,95
708,1,Dynamo DB,95
709,2,analytical,95
710,3,Interpersonal skills,96
711,3,Javascript,96
712,1,Open source,96
713,3,LEX,96
714,4,Python,96
715,4,advanced analytics,96
716,4,Architecture,96
717,3,Investigation,96
718,1,Enterprise applications,97
719,2,Open source,97
720,4,AWS,97
721,3,Analytics,97
722,1,LEX,97
723,1,IT Skills,97
724,4,Automation testing,97
725,5,Artificial Intelligence,97
726,1,IVR,98
727,2,Enterprise applications,98
728,1,Artificial Intelligence,98
729,1,Open source,98
730,5,Python,98
731,4,IT Skills,98
732,5,Java,98
733,1,AWS,98
734,3,cloud,99
735,5,Hive,99
736,5,python,99
737,5,Hadoop,99
738,5,Big Data,99
739,3,Economics,100
740,5,stats Graduate,100
741,3,Data scientist,100
742,5,Machine Learning Eng,100
743,2,Data Scientist,101
744,5,IT Skills,101
745,2,Project Management,101
746,4,BPO,101
747,4,project management,101
748,5,auditing,101
749,1,travel,101
750,2,story telling,101
751,5,data science,102
752,1,Azure,102
753,3,NLP,102
754,2,Algorithms,102
755,1,Data Scientist,102
756,5,Cloud,102
757,4,AWS,102
758,1,Python,102
759,2,data mining,103
760,4,-,103
761,5,R,103
762,5,Tableau,103
763,3,communication,103
764,3,SQL,103
765,3,C++,103
766,2,Python,103
767,4,Data Analysis,104
768,3,analytics,104
769,2,Data modeling,104
770,5,IT Skills,104
771,3,Machine Learning,104
772,3,Tableau analytics,104
773,5,R,104
774,4,SQL,104
775,1,SQL,105
776,1,Analytical,105
777,3,Python,105
778,5,Tableau,105
779,3,communication,105
780,2,data mining,105
781,2,Hadoop,105
782,5,R,105
783,4,Supply chain,106
784,1,Computer science,106
785,2,Data analysis,106
786,4,Simulation,106
787,2,Machine learning,106
788,4,Open source,106
789,1,Data mining,106
790,1,SQL,106
791,4,R,107
792,3,Python,107
793,1,SQL,107
794,4,Data Science,107
795,2,Data Manipulation,107
796,5,Artificial Intelligence,107
797,4,Linear Regression,107
798,1,Machine Learning,107
799,3,python,108
800,1,IT Skills,108
801,5,Testing,108
802,2,Data Science,108
803,2,Cloud,108
804,4,AWS,108
805,1,Azure,108
806,1,Pytorch,108
807,3,data analysis,109
808,3,data mining,109
809,4,artificial neural networks,109
810,3,python,109
811,3,r,109
812,4,predictive modeling,109
813,2,segmentation,109
814,4,machine learning,109
815,5,Data Science,110
816,5,Hypothesis testing,110
817,1,Text mining,110
818,1,PowerBI,110
819,4,R,110
820,5,Tableau,110
821,5,GLM Algorithms,110
822,1,SQL,110
823,2,Machine Learning,111
824,2,Data Science,111
825,1,SAS,111
826,1,Data Scientist,111
827,4,Statistics,111
828,3,Analytics,111
829,4,SQL,111
830,4,IT Skills,112
831,1,Java,112
832,3,Python,112
833,2,Machine Learning,112
834,1,Javascript,112
835,2,Data Scientist,112
836,5,Training,113
837,3,deep learning,113
838,3,Backend,113
839,1,Linux,113
840,1,Artificial Intelligence,113
841,3,Machine learning,113
842,3,Transformers,113
843,4,Deployment,113
844,4,python,114
845,4,sql,114
846,3,Hadoop Administration,114
847,1,Hive,114
848,4,Periscope,114
849,1,Spark,114
850,5,Machine Learning,114
851,4,AWS services,115
852,2,Data Science,115
853,3,NLP,115
854,4,Neural Networks,115
855,1,Data Analysis,115
856,1,Data Mining,115
857,1,Machine Learning,115
858,3,Deep Learning,115
859,5,Java,116
860,4,R,116
861,2,Python,116
862,3,IT Skills,116
863,2,Software Development,116
864,4,Testing,116
865,1,Quality Assurance,116
866,5,Javascript,116
867,2,Data Scientist,117
868,4,Data Science,117
869,3,Scipy,117
870,4,Pandas,117
871,3,Scikit-learn,117
872,3,Numpy,117
873,5,programming,117
874,4,implementation skills,117
875,4,algorithms,118
876,4,Natural Language Processing,118
877,5,Deep Learning,118
878,4,IT Skills,118
879,3,Java,118
880,4,Python,118
881,1,Data Science,118
882,1,Tableau,118
883,2,data science,119
884,4,Machine learning,119
885,2,Cloud,119
886,5,Open source,119
887,5,Python,119
888,5,IT Skills,119
889,2,Software Development,119
890,1,Testing,119
891,2,Software design,120
892,5,Machine learning,120
893,2,Open source,120
894,1,SQL,120
895,1,Python,120
896,3,Analytical skills,120
897,4,Analytical,120
898,3,Artificial Intelligence,120
899,5,Logistic Regression,121
900,4,MySQL,121
901,1,Natural Language Processing,121
902,4,Time Series,121
903,1,Python,121
904,5,sql,121
905,2,SQL queries,121
906,3,machine learning,121
907,5,deep learning,122
908,2,python,122
909,5,data science,122
910,1,machine learning,122
911,4,SQL,122
912,2,Communication Skills,122
913,4,artificial intelligence,122
914,4,Bidding,123
915,2,Data management,123
916,3,PHP,123
917,4,Google AdWords,123
918,5,HTML,123
919,5,microsoft,123
920,1,Data mining,123
921,1,Statistics,123
922,2,Data Science,124
923,1,Artificial Intelligence,124
924,4,Machine Learning,124
925,1,IT Skills,124
926,5,Python,124
927,5,Predictive Modeling,124
928,3,Natural Language Processing,124
929,1,Computer science,125
930,2,Automation,125
931,5,github,125
932,3,data science,125
933,5,Machine learning,125
934,3,Venture capital,125
935,1,Programming,125
936,5,Analytics,125
937,5,IT Skills,126
938,3,Machine Learning,126
939,4,SAN,126
940,2,Statistical analysis,126
941,2,French,126
942,5,big data analytics,126
943,4,OOPS,126
944,1,Data structures,126
945,5,Business Intelligence,127
946,4,IT Skills,127
947,4,Python,127
948,5,Testing,127
949,1,Credentialing,127
950,5,Medicare,127
951,2,Feedback,127
952,4,US Healthcare,127
953,2,python,128
954,4,Machine Learning,128
955,4,Data Scientist,128
956,4,IT Skills,128
957,5,PHP,128
958,2,Artificial Intelligence,128
959,1,software testing,128
960,2,freshers,128
961,3,IT Skills,129
962,4,Python,129
963,1,Data Science,129
964,2,Machine Learning,129
965,2,Cloud,129
966,1,DevOps,129
967,1,Azure,129
968,2,SAN,129
969,4,Relationship management,130
970,5,Mining,130
971,2,Computer science,130
972,4,Data management,130
973,5,Pharma,130
974,4,Consulting,130
975,3,Workflow,130
976,1,Data quality,130
977,1,Unix,131
978,2,Operations research,131
979,2,SAS,131
980,1,Data management,131
981,5,Risk analytics,131
982,4,Project management,131
983,3,Data collection,131
984,1,Data mining,131
985,3,Predictive Modeling,132
986,3,Business Intelligence,132
987,4,Power Bi,132
988,4,Business Analytics,132
989,4,SAS,132
990,4,Qlik Sense,132
991,3,Scripting Languages,132
992,1,Data Mining,132
993,1,Pyspark,133
994,1,Fraud Modelling,133
995,3,Risk,133
996,2,Data Scientist,133
997,3,Python,133
998,5,SAS,133
999,3,predictive analytics,133
1000,3,Big Data,133
1001,4,Training,134
1002,1,advanced analytics,134
1003,4,data science,134
1004,4,Programming,134
1005,5,Representative,134
1006,4,Management,134
1007,3,Financial services,134
1008,4,Analytics,134
1009,4,Data analysis,135
1010,1,Production engineering,135
1011,4,Machine learning,135
1012,5,Salesforce.com,135
1013,1,Open source,135
1014,4,Analytics,135
1015,3,SQL,135
1016,1,Python,135
1017,5,Computer science,136
1018,4,Product engineering,136
1019,1,data science,136
1020,1,Project management,136
1021,4,Consulting,136
1022,1,Machine learning,136
1023,1,Engineering Design,136
1024,3,Financial services,136
1025,5,remediation,137
1026,2,Data analysis,137
1027,3,Project management,137
1028,5,Analytical,137
1029,2,Back office,137
1030,2,linear regression,137
1031,1,Analytics,137
1032,5,Financial services,137
1033,4,Computer science,138
1034,4,Statistical programming,138
1035,5,Data modeling,138
1036,1,Analytical,138
1037,2,Machine learning,138
1038,5,QlikView,138
1039,2,Business intelligence,138
1040,2,Financial services,138
1041,3,Natural Language,139
1042,3,Hive,139
1043,4,NLP,139
1044,2,Vision,139
1045,4,Hyperparameter tuning,139
1046,2,Data Wrangling,139
1047,1,Machine learning,139
1048,1,TensorFlow,139
1049,2,Logistic Regression,140
1050,5,R programming,140
1051,4,Python,140
1052,3,Machine Learning,140
1053,4,Statistical Modeling,140
1054,5,analytical,140
1055,3,advanced statistics,140
1056,1,SQL,140
1057,2,advanced statistics,141
1058,5,Python,141
1059,5,analytical,141
1060,4,Statistical Modeling,141
1061,3,R programming,141
1062,2,Machine Learning,141
1063,1,Logistic Regression,141
1064,1,IT Skills,141
1065,5,Data Science,142
1066,2,Tensorflow,142
1067,4,NoSQL,142
1068,4,Data Management,142
1069,5,Statistical Modeling,142
1070,1,Data Analysis,142
1071,4,Machine Learning,142
1072,2,Deep Learning,142
1073,1,data analytics,143
1074,1,Data Scientist,143
1075,4,Machine Learning,143
1076,1,Data analysis,143
1077,5,python,143
1078,1,SAS,143
1079,3,data engineering,143
1080,1,SQL,143
1081,5,data scientist,144
1082,3,Data modeling,144
1083,2,analytics,144
1084,4,IT Skills,144
1085,5,Cloud,144
1086,2,R,144
1087,2,Tableau,144
1088,1,machine learning,144
1089,1,end-to-end,145
1090,3,EDA,145
1091,2,visualizations,145
1092,5,insights,145
1093,4,monitoring,145
1094,2,modelling,145
1095,5,problem scoping,145
1096,2,R,145
1097,1,Machine Learning,146
1098,4,Predictive modeling,146
1099,4,MongoDB,146
1100,1,Spark,146
1101,5,Python,146
1102,1,Deep Learning stack,146
1103,2,NLP,146
1104,3,Hadoop,146
1105,4,software development,147
1106,1,Data Mining,147
1107,5,Machine Learning,147
1108,4,Java,147
1109,2,C#,147
1110,5,Hadoop,147
1111,5,communication,147
1112,1,C++,147
1113,3,C#,148
1114,1,Java,148
1115,5,architecting,148
1116,5,C++,148
1117,5,software development,148
1118,4,Data Scientist,148
1119,3,Hadoop,148
1120,5,Data Analysis,148
1121,4,Java,149
1122,2,software development,149
1123,3,Machine Learning,149
1124,3,C++,149
1125,5,Hadoop,149
1126,3,Data Mining,149
1127,2,communication,149
1128,1,algorithms,149
1129,4,Python,150
1130,1,IT Skills,150
1131,2,Java,150
1132,3,Data Science,150
1133,1,Machine Learning,150
1134,2,Cloud,150
1135,5,SAP,150
1136,1,Procurement,150
1137,1,computer vision,151
1138,1,Machine Learning,151
1139,5,Deep Learning,151
1140,3,PowerPoint,151
1141,3,VoTT,151
1142,1,Git,151
1143,3,CUDA,151
1144,1,Keras,151
1145,3,Data Science,152
1146,4,Data Analysis,152
1147,5,NLP,152
1148,2,Neural Networks,152
1149,5,Data Mining,152
1150,1,Machine Learning,152
1151,4,AWS,152
1152,4,Deep Learning,152
1153,2,Data science,153
1154,5,Tableau,153
1155,3,Python,153
1156,3,SQL,153
1157,5,Data scientist,153
1158,3,Data Visualization,153
1159,5,Big Data,154
1160,2,Machine Learning,154
1161,5,Python,154
1162,2,IT Skills,154
1163,1,Data Science,154
1164,2,Cloud,154
1165,5,AWS,154
1166,5,Azure,154
1167,2,Data Science,155
1168,4,Natural Language Processing,155
1169,5,Big Data,155
1170,4,Python,155
1171,2,IT Skills,155
1172,4,Cassandra,155
1173,4,Kafka,155
1174,3,MongoDB,155
1175,5,Data Science,156
1176,3,Python,156
1177,1,Opencv,156
1178,4,Scipy,156
1179,1,NLTK,156
1180,4,Numpy,156
1181,5,Tensorflow,156
1182,1,Pytorch,156
1183,5,R,157
1184,4,Alteryx,157
1185,2,Statistics,157
1186,2,SQL,157
1187,1,Python,157
1188,3,Data Science,158
1189,1,IT Skills,158
1190,3,Python,158
1191,5,Testing,158
1192,2,Machine Learning,158
1193,2,Cloud,158
1194,3,AWS,158
1195,3,Tableau,158
1196,2,advanced analytics,159
1197,1,data science,159
1198,2,machine learning,159
1199,1,Python,159
1200,5,Tensorflow,160
1201,1,Python,160
1202,1,Caffe,160
1203,4,MxNET,160
1204,5,Keras,160
1205,4,written communication,160
1206,3,PyTorch,160
1207,3,Agile,160
1208,2,Azure Machine Learning,161
1209,3,Pandas,161
1210,5,KNN,161
1211,2,Regression,161
1212,4,Azure ML,161
1213,2,Matplotlib,161
1214,2,Data science,161
1215,1,Machine Learning,161
1216,5,Data Scientist,162
1217,3,Machine Learning,162
1218,4,Python,162
1219,2,Python,163
1220,3,Neural Networks,163
1221,1,Regression Analysis,163
1222,3,Pytorch,163
1223,2,R,163
1224,5,Scikit,163
